token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.0838758647441864,0.9195453970136126
1,599, have,·have,-3.230508327484131,0.039537395734461404
2,304, h,·h,-0.753669798374176,0.47063623962578316
3,16,1,1,-2.588710308074951,0.07511685524268576
4,535, :,·:,-0.39106085896492004,0.6763389934956677
5,1167, Q,·Q,-1.0569393634796143,0.3475178100043243
6,1610, :=,·:=,-1.0486488342285156,0.35041089259556235
7,539, by,·by,-0.5545498728752136,0.5743307248591767
8,198,"
",↵,-0.8121427297592163,0.4439058761131752
9,262,   ,···,-0.039520032703876495,0.9612506973471465
10,599, have,·have,-3.9027533531188965,0.020186254971916395
11,304, h,·h,-0.2703002393245697,0.7631503321965477
12,17,2,2,-0.3239751160144806,0.7232682399523255
13,535, :,·:,-0.0861920490860939,0.9174180250073027
14,387, P,·P,-0.7613430023193359,0.4670387714795154
15,1610, :=,·:=,-1.5261802673339844,0.21736435735744872
16,539, by,·by,-0.9144353270530701,0.4007428508598604
17,4581, exact,·exact,-2.481642007827759,0.08360583139229773
18,304, h,·h,-0.09895578771829605,0.9057827538605593
19,47,P,P,-0.012558544985949993,0.987519984457863
20,198,"
",↵,-0.028408033773303032,0.9719916804430445
21,262,   ,···,-0.007820464670658112,0.9922100356026152
22,4581, exact,·exact,-0.6291800141334534,0.5330286978565024
23,304, h,·h,-0.20653654634952545,0.8133965342397106
24,17,2,2,-0.1683066487312317,0.8450946477455149
25,198,"
",↵,-0.2795493006706238,0.7561244494538188
26,220, ,·,-0.013835125602781773,0.9862601399046315
27,599, have,·have,-0.5526185631752014,0.5754410071634954
28,304, h,·h,-0.007886581122875214,0.9921444363638254
29,18,3,3,-0.4937964975833893,0.6103049689902449
30,535, :,·:,-0.001903866184875369,0.9980979450187375
31,423, R,·R,-0.1634705811738968,0.8491914808506172
32,1610, :=,·:=,-0.003123882692307234,0.9968809915523865
33,539, by,·by,-0.14804254472255707,0.8623944238300478
34,198,"
",↵,-0.12852968275547028,0.8793874593880923
35,262,   ,···,-0.0018759049708023667,0.9981258534392188
36,3668, apply,·apply,-1.9930799007415771,0.1362750647701895
37,304, h,·h,-0.010070350021123886,0.9899801861723331
38,29471,QR,QR,-0.00046695294440723956,0.9995331560611515
39,198,"
",↵,-0.07744044810533524,0.9254821369703264
40,262,   ,···,-0.007599964737892151,0.9924288419712636
41,4581, exact,·exact,-0.07664313912391663,0.9262203264337143
42,304, h,·h,-0.0037523354403674603,0.9962546957730214
43,16,1,1,-0.03234808146953583,0.9681695215505176
44,198,"
",↵,-0.018291952088475227,0.9818743302473611
45,220, ,·,-0.0036245384253561497,0.996382022285133
46,4581, exact,·exact,-0.19101695716381073,0.8261185794043419
47,304, h,·h,-0.050011780112981796,0.9512182189766231
48,47,P,P,-1.7392463684082031,0.1756527281927644
49,198,"
",↵,-2.459115505218506,0.08551055116467035
