id,num_proof_tokens,avg_logprob,min_logprob,max_logprob,csv,heatmap,barcode
long_bad_and_swap,52,-0.5381352305412292,-10.93162727355957,-3.93382906622719e-05,logprob/output_4/long_bad_and_swap/token_scores.csv,logprob/output_4/long_bad_and_swap/heatmap.png,logprob/output_4/long_bad_and_swap/barcode.png
long_bad_exists_destruct,54,-0.915363609790802,-5.386866569519043,-0.0003937899600714445,logprob/output_4/long_bad_exists_destruct/token_scores.csv,logprob/output_4/long_bad_exists_destruct/heatmap.png,logprob/output_4/long_bad_exists_destruct/barcode.png
long_bad_rewrite_chain,131,-0.18347811698913574,-6.754092693328857,-1.847726889536716e-05,logprob/output_4/long_bad_rewrite_chain/token_scores.csv,logprob/output_4/long_bad_rewrite_chain/heatmap.png,logprob/output_4/long_bad_rewrite_chain/barcode.png
long_bad_apply_exact,39,-0.5568293333053589,-3.9297752380371094,-0.0004483648226596415,logprob/output_4/long_bad_apply_exact/token_scores.csv,logprob/output_4/long_bad_apply_exact/heatmap.png,logprob/output_4/long_bad_apply_exact/barcode.png
long_bad_cases_nat,68,-1.1812151670455933,-13.883405685424805,-0.0002090712368953973,logprob/output_4/long_bad_cases_nat/token_scores.csv,logprob/output_4/long_bad_cases_nat/heatmap.png,logprob/output_4/long_bad_cases_nat/barcode.png
long_bad_simpa_direction,86,-0.5864490866661072,-4.230264663696289,-5.2689116273541003e-05,logprob/output_4/long_bad_simpa_direction/token_scores.csv,logprob/output_4/long_bad_simpa_direction/heatmap.png,logprob/output_4/long_bad_simpa_direction/barcode.png
long_bad_constructor_nested,23,-0.40670013427734375,-5.384713649749756,-0.0010342017048969865,logprob/output_4/long_bad_constructor_nested/token_scores.csv,logprob/output_4/long_bad_constructor_nested/heatmap.png,logprob/output_4/long_bad_constructor_nested/barcode.png
long_bad_specialize,55,-0.8620375990867615,-5.4671244621276855,-0.0007798014557920396,logprob/output_4/long_bad_specialize/token_scores.csv,logprob/output_4/long_bad_specialize/heatmap.png,logprob/output_4/long_bad_specialize/barcode.png
long_bad_obtain_pair,41,-1.011883020401001,-5.4197516441345215,-0.002419522497802973,logprob/output_4/long_bad_obtain_pair/token_scores.csv,logprob/output_4/long_bad_obtain_pair/heatmap.png,logprob/output_4/long_bad_obtain_pair/barcode.png
long_bad_change,29,-1.1824591159820557,-7.782191276550293,-0.0012356750667095184,logprob/output_4/long_bad_change/token_scores.csv,logprob/output_4/long_bad_change/heatmap.png,logprob/output_4/long_bad_change/barcode.png
long_bad_have_branch,50,-0.6087110638618469,-3.9027533531188965,-0.00046695294440723956,logprob/output_4/long_bad_have_branch/token_scores.csv,logprob/output_4/long_bad_have_branch/heatmap.png,logprob/output_4/long_bad_have_branch/barcode.png
long_bad_rw_at_hyp,62,-0.8087085485458374,-4.75260066986084,-0.0011624491307884455,logprob/output_4/long_bad_rw_at_hyp/token_scores.csv,logprob/output_4/long_bad_rw_at_hyp/heatmap.png,logprob/output_4/long_bad_rw_at_hyp/barcode.png
long_bad_linarith_mix,55,-0.42885059118270874,-6.443973064422607,-1.9073304429184645e-05,logprob/output_4/long_bad_linarith_mix/token_scores.csv,logprob/output_4/long_bad_linarith_mix/heatmap.png,logprob/output_4/long_bad_linarith_mix/barcode.png
long_bad_ring_nf,104,-0.21369431912899017,-3.719186782836914,-1.4305104514278355e-06,logprob/output_4/long_bad_ring_nf/token_scores.csv,logprob/output_4/long_bad_ring_nf/heatmap.png,logprob/output_4/long_bad_ring_nf/barcode.png
long_bad_induction_use,72,-1.0780720710754395,-10.500175476074219,-4.577531944960356e-05,logprob/output_4/long_bad_induction_use/token_scores.csv,logprob/output_4/long_bad_induction_use/heatmap.png,logprob/output_4/long_bad_induction_use/barcode.png
long_bad_rcases_or,35,-0.9100510478019714,-6.805790901184082,-3.421248038648628e-05,logprob/output_4/long_bad_rcases_or/token_scores.csv,logprob/output_4/long_bad_rcases_or/heatmap.png,logprob/output_4/long_bad_rcases_or/barcode.png
long_bad_aesop_finish,35,-0.4655435383319855,-2.5387306213378906,-0.0007085673278197646,logprob/output_4/long_bad_aesop_finish/token_scores.csv,logprob/output_4/long_bad_aesop_finish/heatmap.png,logprob/output_4/long_bad_aesop_finish/barcode.png
long_bad_transitivity,15,-1.6145719289779663,-7.08378267288208,-0.0004644507134798914,logprob/output_4/long_bad_transitivity/token_scores.csv,logprob/output_4/long_bad_transitivity/heatmap.png,logprob/output_4/long_bad_transitivity/barcode.png
long_bad_intro_count,40,-0.7703441977500916,-5.705002784729004,-0.00034374051028862596,logprob/output_4/long_bad_intro_count/token_scores.csv,logprob/output_4/long_bad_intro_count/heatmap.png,logprob/output_4/long_bad_intro_count/barcode.png
long_bad_funext,42,-0.8003181219100952,-4.553308963775635,-2.407998726994265e-05,logprob/output_4/long_bad_funext/token_scores.csv,logprob/output_4/long_bad_funext/heatmap.png,logprob/output_4/long_bad_funext/barcode.png
